"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL198590";"";"None";"339.85";"1";"5.74";"18";"O=C(Nc1cc(Cl)ccc1Sc1ccccc1)c1ccccc1";"IC50";"'='";"49600.0";"nM";"4.30";"";"";"UO_0000065";"12.67";"0.26";"-1.44";"14.79";"0";"CHEMBL864478";"Mixed inhibition of trypanothione reductase from Trypanosoma cruzi using TSST substrate";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1141222";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"49.6"
"CHEMBL209834";"";"None";"716.98";"2";"4.28";"8d";"N=C(NCCCNCCCNCCCNC(=N)NC(=N)NCC(c1ccccc1)c1ccccc1)NC(=N)NCC(c1ccccc1)c1ccccc1";"IC50";"'='";"4160.0";"nM";"5.38";"";"";"UO_0000065";"7.50";"0.14";"1.10";"2.81";"0";"CHEMBL869331";"Inhibition of Trypanosoma cruzi TR";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1148496";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"4.16"
"CHEMBL207396";"";"None";"745.04";"3";"5.06";"8c";"N=C(NCCCNCCCNCCCNC(=N)NC(=N)NCCC(c1ccccc1)c1ccccc1)NC(=N)NCCC(c1ccccc1)c1ccccc1";"IC50";"'='";"3680.0";"nM";"5.43";"";"";"UO_0000065";"7.29";"0.13";"0.37";"2.84";"0";"CHEMBL869331";"Inhibition of Trypanosoma cruzi TR";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1148496";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"3.68"
"CHEMBL209039";"";"None";"773.09";"3";"5.84";"10d";"N=C(NCCCNCCCCCCCNCCCNC(=N)NC(=N)NCC(c1ccccc1)c1ccccc1)NC(=N)NCC(c1ccccc1)c1ccccc1";"IC50";"'='";"1660.0";"nM";"5.78";"";"";"UO_0000065";"7.48";"0.14";"-0.06";"3.02";"0";"CHEMBL869331";"Inhibition of Trypanosoma cruzi TR";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1148496";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"1.66"
"CHEMBL106074";"";"None";"496.14";"1";"7.19";"17";"C[N+](C)(CCCN1c2ccccc2Sc2ccc(Cl)cc21)CC(=O)C12CC3CC(CC(C3)C1)C2";"IC50";"'='";"12800.0";"nM";"4.89";"";"";"UO_0000065";"9.86";"0.20";"-2.30";"24.09";"0";"CHEMBL811877";"Inhibitory activity against Trypanosoma cruzi trypanothione reductase";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1133619";"1";"Scientific Literature";"J Med Chem";"2000";"None";"";"";"";"12.8"
"CHEMBL239370";"";"None";"490.46";"1";"6.52";"7";"C[N+](C)(CCCN1c2ccccc2Sc2ccc(Cl)cc21)Cc1ccc([N+](=O)[O-])cc1.[Cl-]";"IC50";"'='";"17900.0";"nM";"4.75";"";"";"UO_0000065";"10.43";"0.21";"-1.77";"10.24";"0";"CHEMBL811877";"Inhibitory activity against Trypanosoma cruzi trypanothione reductase";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1133619";"1";"Scientific Literature";"J Med Chem";"2000";"None";"";"";"";"17.9"
"CHEMBL17968";"";"None";"660.72";"2";"6.37";"8h";"CCCCCCCNC(=O)CCCC(=O)Nc1cccc(Sc2ccc(Br)cc2NC(=O)CCN2CCN(C)CC2)c1";"IC50";"'='";"23000.0";"nM";"4.64";"";"";"UO_0000065";"7.02";"0.15";"-1.73";"4.95";"0";"CHEMBL818119";"Inhibition of trypanothione reductase from Trypanosoma cruzi, in the presence 57 uM of trypanothione T(SH)2";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1131361";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1998";"None";"";"";"";"23.0"
"CHEMBL91309";"";"None";"462.98";"1";"5.74";"3c";"COc1ccc2nc3cc(Cl)ccc3c(NCCCCNC(=O)NCc3ccccc3)c2c1";"IC50";"'='";"15500.0";"nM";"4.81";"";"";"UO_0000065";"10.39";"0.20";"-0.93";"6.39";"0";"CHEMBL818118";"Inhibitory concentration against trypanothione reductase was determined";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1133983";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";"";"15.5"
"CHEMBL356232";"";"None";"538.69";"1";"2.74";"18 4-g";"CN1CCN(C(=O)CCCCC2=C(CCCCC(=O)N3CCN(C)CC3)C(=O)c3c(O)cccc3C2=O)CC1";"IC50";"'='";"5900.0";"nM";"5.23";"";"";"UO_0000065";"9.71";"0.18";"2.49";"5.15";"0";"CHEMBL812446";"Inhibitory activity against Trypanosoma cruzi trypanothione disulfide reductase, assay in presence of 57 uM T(S)2.";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1134791";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"5.9"
"CHEMBL154224";"";"None";"331.37";"0";"3.00";"15(2)";"CC1=C(CCNC(=O)OC(C)(C)C)C(=O)c2c(O)cccc2C1=O";"IC50";"'>'";"25000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL812446";"Inhibitory activity against Trypanosoma cruzi trypanothione disulfide reductase, assay in presence of 57 uM T(S)2.";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1134791";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"25.0"
"CHEMBL288428";"";"None";"332.90";"1";"5.28";"43";"CCN(CC)CCN1c2ccccc2Sc2ccc(Cl)cc21";"IC50";"'='";"81300.0";"nM";"4.09";"";"";"UO_0000065";"12.29";"0.25";"-1.19";"63.12";"0";"CHEMBL811879";"Inhibitory activity against recombinant Trypanosoma cruzi (Trypanosoma cruzi) Trypanothione reductase";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1131108";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";"";"81.3"
"CHEMBL38869";"";"None";"354.52";"1";"5.22";"7";"CCCC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2";"IC50";"'='";"301000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL811879";"Inhibitory activity against recombinant Trypanosoma cruzi (Trypanosoma cruzi) Trypanothione reductase";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1131108";"1";"Scientific Literature";"J Med Chem";"1998";"None";"";"";"";"301.0"
"CHEMBL405454";"";"None";"1107.58";"None";"None";"5";"CC(C)(C)OC(=O)NCCCCC(NC(=O)OC(C)(C)C)C(=O)NCC1CCC(CNCCCN2CCN(CCCNCC3CCC(CNC(=O)C(CCCCNC(=O)OC(C)(C)C)NC(=O)OC(C)(C)C)CC3)CC2)CC1";"IC50";"";"";"nM";"";"";"Not Active";"UO_0000065";"";"";"";"";"0";"CHEMBL818117";"Inhibitory activity against trypanothione reductase in Trypanosoma cruzi trypomastigotes; NA is not active";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1131734";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";"";""
"CHEMBL279374";"";"None";"994.92";"2";"8.41";"238";"CN1CCN(CCC(=O)Nc2cc(Br)ccc2Sc2cccc(NC(=O)CCCC(=O)Nc3cccc(Sc4ccc(Br)cc4NC(=O)CCN4CCN(C)CC4)c3)c2)CC1";"IC50";"'='";"550.0";"nM";"6.26";"";"";"UO_0000065";"6.29";"0.14";"-2.15";"4.84";"1";"CHEMBL5263057";"Inhibition of Trypanosoma cruzi TryR";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL5260817";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"INHIBITOR";"";"0.55"
"CHEMBL5280255";"";"None";"682.99";"2";"7.23";"241";"CCCCN(CCCC)CCCNC(=O)CCCC1=C(CCCC(=O)NCCCN(CCCC)CCCC)C(=O)c2c(O)cccc2C1=O";"IC50";"'='";"600.0";"nM";"6.22";"";"";"UO_0000065";"9.11";"0.17";"-1.01";"5.23";"0";"CHEMBL5263057";"Inhibition of Trypanosoma cruzi TryR";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL5260817";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"INHIBITOR";"";"0.6"
"CHEMBL277840";"";"None";"434.93";"0";"4.96";"3a";"COc1ccc2nc3cc(Cl)ccc3c(NCCNC(=O)NCc3ccccc3)c2c1";"IC50";"'='";"19300.0";"nM";"4.71";"";"";"UO_0000065";"10.84";"0.21";"-0.25";"6.26";"0";"CHEMBL818118";"Inhibitory concentration against trypanothione reductase was determined";"B";"BAO_0000357";"single protein format";"Trypanosoma cruzi";"None";"None";"None";"None";"";"";"";"CHEMBL5131";"Trypanothione reductase";"Trypanosoma cruzi";"SINGLE PROTEIN";"CHEMBL1133983";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2001";"None";"";"";"";"19.3"
