Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value
CHEMBL369675;;;260.34;0.0;4.39;2c;CCc1c2nc3ccccc3c-2n(C)c2ccccc12;IC50;'=';180.0;nM;6.75;;;UO_0000065;;;;;0;CHEMBL814777;Antitrypanosomal activity against Trypanosoma cruzi amastigotes;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1134377;1;Scientific Literature;J Med Chem;2001.0;;;;;0.18
CHEMBL367105;;;245.29;0.0;3.73;6f;c1ccc(-c2cc[nH]c3c4ccccc4nc2-3)nc1;IC50;'=';18800.0;nM;4.73;;;UO_0000065;;;;;0;CHEMBL814777;Antitrypanosomal activity against Trypanosoma cruzi amastigotes;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1134377;1;Scientific Literature;J Med Chem;2001.0;;;;;18.8
CHEMBL110;BENZNIDAZOLE;4.0;260.25;0.0;1.11;Bdz;O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1;IC50;'=';13900.0;nM;4.86;;;UO_0000065;;;;;0;CHEMBL3631897;Antiparasitic activity against amastigote stage of Trypanosoma cruzi Y in BALB/c mouse macrophages assessed as decrease in number of intracellular amastigotes incubated for 6 hrs by Giemsa staining-based optical microscopic analysis;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL3627689;1;Scientific Literature;Bioorg Med Chem;2015.0;;;;;13.9
CHEMBL176533;;;396.39;0.0;3.61;35b;Cc1c2ccccc2[n+](C)c2c1[nH]c1ccccc12.O=S(=O)([O-])C(F)(F)F;IC50;'=';74.0;nM;7.13;;;UO_0000065;;;;;0;CHEMBL814777;Antitrypanosomal activity against Trypanosoma cruzi amastigotes;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1134377;1;Scientific Literature;J Med Chem;2001.0;;;;;0.074
CHEMBL1821997;;;281.36;0.0;2.52;8;N=C(N)NCCCCc1nccc2c1[nH]c1ccccc12;IC50;'=';110000.0;nM;;Outside typical range;;UO_0000065;;;;;0;CHEMBL1826232;Antiparasitic activity against Trypanosoma cruzi Tulahuen C4 amastigotes stage forms incubated for 96 hrs by beta-galactosidase reporter gene assay;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1821712;1;Scientific Literature;J Nat Prod;2011.0;;;;;110.0
CHEMBL1819407;;;396.92;1.0;5.57;6;CCOC(=O)c1c(CN(CC)CC)nc2ccc(Cl)cc2c1-c1ccccc1;IC50;'=';33000.0;nM;4.48;;;UO_0000065;;;;;0;CHEMBL1819806;Trypanocidal activity against intracellular amastigotes form of Trypanosoma cruzi expressing beta-galactosidase infected in mouse J774 cells on day 7;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;J774;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1817640;1;Scientific Literature;Eur J Med Chem;2011.0;CHEMBL3307540;;;;33.0
CHEMBL1819410;;;444.96;1.0;6.36;9;CCOC(=O)c1c(CN(C)Cc2ccccc2)nc2ccc(Cl)cc2c1-c1ccccc1;IC50;'=';61000.0;nM;4.21;;;UO_0000065;;;;;0;CHEMBL1819806;Trypanocidal activity against intracellular amastigotes form of Trypanosoma cruzi expressing beta-galactosidase infected in mouse J774 cells on day 7;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;J774;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1817640;1;Scientific Literature;Eur J Med Chem;2011.0;CHEMBL3307540;;;;61.0
CHEMBL4856014;;;275.26;0.0;2.07;3c;COc1ccc(C(=O)CCn2ccnc2[N+](=O)[O-])cc1;IC50;'=';3300.0;nM;5.48;;;UO_0000065;;;;;0;CHEMBL4840639;Antitrypanosomal activity against Trypanosoma cruzi amastigotes infected in BSR cells assessed as inhibition of replication of intracellular amastigotes incubated for 72 hrs by fluorescence based analysis;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;BSR;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL4840308;1;Scientific Literature;Eur J Med Chem;2021.0;;TIME = 72.0 hr;;;3.3
CHEMBL365302;;;446.5;0.0;4.73;4;c1ccc(COC2OC[C@H](Cc3ccc4c(c3)OCO4)[C@@H]2Cc2ccc3c(c2)OCO3)cc1;IC50;'=';5700.0;nM;5.24;;;UO_0000065;;;;;0;CHEMBL833861;Trypanocidal activity against amastigote forms of Y strain of Trypanosoma cruzi;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1142828;1;Scientific Literature;Bioorg Med Chem Lett;2005.0;;;;;5.7
CHEMBL3800137;;;301.42;0.0;3.16;23a;O=C(NCCc1csc(-c2ccccc2)n1)N1CCCC1;IC50;'=';96.0;nM;7.02;;;UO_0000065;;;;;0;CHEMBL4718766;Antitrypanosomal activity against Trypanosoma cruzi Tulahuen C4 strain amastigotes infected in rat L6 cells measured after 96 hrs by inverted microscopy analysis;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;L6;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL4715758;1;Scientific Literature;J Med Chem;2016.0;;TIME = 96.0 hr;;;0.096
