Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties;Action Type;Standard Text Value;Value
CHEMBL1797567;;;318.37;0.0;4.33;8;Cc1ccc(C2CCC3=C(O2)c2ccccc2C(=O)C3=O)c(C)c1;IC50;'=';687500.0;nM;;Outside typical range;;UO_0000065;;;;;0;CHEMBL1799604;Antitrypanosomal activity against bloodstream trypomastigote form of Trypanosoma cruzi Y isolated from albino mouse blood after 24 hrs;F;BAO_0000218;organism-based format;Trypanosoma cruzi;CHEMBL3638178;Blood;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1795240;1;Scientific Literature;Eur J Med Chem;2011.0;;;;;687.5
CHEMBL1797573;;;270.28;0.0;2.34;14;O=C1C(=O)c2ccccc2C2=C1C[C@@H]1CCCO[C@@H]1O2;IC50;'=';35400.0;nM;4.45;;;UO_0000065;;;;;0;CHEMBL1799604;Antitrypanosomal activity against bloodstream trypomastigote form of Trypanosoma cruzi Y isolated from albino mouse blood after 24 hrs;F;BAO_0000218;organism-based format;Trypanosoma cruzi;CHEMBL3638178;Blood;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1795240;1;Scientific Literature;Eur J Med Chem;2011.0;;;;;35.4
CHEMBL1797562;;;324.76;0.0;4.37;2;O=C1C(=O)c2ccccc2C2=C1CCC(c1ccc(Cl)cc1)O2;IC50;'=';20200.0;nM;4.7;;;UO_0000065;;;;;0;CHEMBL1799604;Antitrypanosomal activity against bloodstream trypomastigote form of Trypanosoma cruzi Y isolated from albino mouse blood after 24 hrs;F;BAO_0000218;organism-based format;Trypanosoma cruzi;CHEMBL3638178;Blood;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1795240;1;Scientific Literature;Eur J Med Chem;2011.0;;;;;20.2
CHEMBL374724;;;228.25;0.0;2.84;1;CC(C)=CC1=C(O)C(=O)c2ccccc2C1=O;IC50;'=';1280000.0;nM;;Outside typical range;;UO_0000065;;;;;0;CHEMBL951805;Antitrypanosomal activity against Trypanosoma cruzi Y trypomastigotes after 1 day;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1140963;1;Scientific Literature;Eur J Med Chem;2008.0;;;;;1280.0
CHEMBL1933849;;;408.81;0.0;2.88;5b;O=C1[C@H]2N=NN(Cc3nc(-c4ccc(Cl)cc4)no3)[C@H]2C(=O)N1c1ccccc1;IC50;'=';49.0;ug.mL-1;;;;UO_0000274;;;;;0;CHEMBL1936620;Trypanocidal activity against trypomastigote Trypanosoma cruzi Tulahuen C2C4 infected in L6 cells after 96 hrs by beta-galactosidase reporter gene assay;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;L6;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1933052;1;Scientific Literature;Eur J Med Chem;2012.0;CHEMBL3308469;;;;49.0
CHEMBL1934026;;;420.45;0.0;2.95;5i;CSc1ccc(-c2noc(CN3N=N[C@@H]4C(=O)N(c5ccccc5)C(=O)[C@@H]43)n2)cc1;IC50;'=';48.5;ug.mL-1;;;;UO_0000274;;;;;0;CHEMBL1936620;Trypanocidal activity against trypomastigote Trypanosoma cruzi Tulahuen C2C4 infected in L6 cells after 96 hrs by beta-galactosidase reporter gene assay;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;L6;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1933052;1;Scientific Literature;Eur J Med Chem;2012.0;CHEMBL3308469;;;;48.5
CHEMBL110;BENZNIDAZOLE;4.0;260.25;0.0;1.11;Benznidazole;O=C(Cn1ccnc1[N+](=O)[O-])NCc1ccccc1;IC50;'=';464;ug.mL-1;;;;UO_0000274;;;;;0;CHEMBL1936620;Trypanocidal activity against trypomastigote Trypanosoma cruzi Tulahuen C2C4 infected in L6 cells after 96 hrs by beta-galactosidase reporter gene assay;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;L6;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1933052;1;Scientific Literature;Eur J Med Chem;2012.0;CHEMBL3308469;;;;464
CHEMBL1819413;;;453.97;1.0;5.04;12;CC(=O)NCCCCCCNCc1nc2ccc(Cl)cc2c(-c2ccccc2)c1C(=O)O;IC50;'=';3100.0;nM;5.51;;;UO_0000065;;;;;0;CHEMBL1819805;Trypanocidal activity against bloodstream trypomastigote form of Trypanosoma cruzi after 24 hrs;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1817640;1;Scientific Literature;Eur J Med Chem;2011.0;;;;;3.1
CHEMBL302143;;;351.4;0.0;3.47;3d;O=C(Cc1ccc2c(c1)OCO2)c1ccccc1C(=O)N1CCCCC1;IC50;'>';100.0;ug.mL-1;;Outside typical range;;UO_0000274;;;;;0;CHEMBL820656;"Inhibitory concentration against trypomastigotes (Y strain) of Trypanosoma cruzi; Inactive";F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL1133815;1;Scientific Literature;Bioorg Med Chem Lett;2001.0;;;;;100.0
CHEMBL4584256;;;399.5;0.0;3.39;1;Cn1nc(C(=O)NCc2ccccc2)c2c1CCN(Cc1c[nH]c3ccccc13)C2;IC50;'=';9160.0;nM;5.04;;;UO_0000065;;;;;0;CHEMBL4380606;Antitrypanosomal activity against Trypanosoma cruzi Tulahuen C2C4 trypomastigotes infected in rat L6 cells measured after 96 hrs by CPRG/Nonidet substrate based photometric method;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL4376870;1;Scientific Literature;J Med Chem;2020.0;;;;;9.16
CHEMBL4448121;;;520.63;1.0;4.68;29;COc1ccc(CN2CCc3c(c(C(=O)NCc4cccc5ccccc45)nn3CCO)C2)c2ccccc12;IC50;'=';3830.0;nM;5.42;;;UO_0000065;;;;;0;CHEMBL4380606;Antitrypanosomal activity against Trypanosoma cruzi Tulahuen C2C4 trypomastigotes infected in rat L6 cells measured after 96 hrs by CPRG/Nonidet substrate based photometric method;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL4376870;1;Scientific Literature;J Med Chem;2020.0;;;;;3.83
CHEMBL1862980;;;412.9;0.0;4.19;64;COc1ccccc1N1CCN(C(c2cncnc2)c2ccc(Cl)cc2F)CC1;IC50;'=';65.0;nM;7.19;;;UO_0000065;;;;;0;CHEMBL2343824;Antitrypanosomal activity against Trypanosoma cruzi Tulahuen TcVI extracellular trypomastigotes forms transfected with beta-galactosidase gene infected in rat L6 cells assessed as inhibition of parasite growth after 4 days;F;BAO_0000218;organism-based format;Trypanosoma cruzi;;;L6;;;;;CHEMBL368;Trypanosoma cruzi;Trypanosoma cruzi;ORGANISM;CHEMBL2331102;1;Scientific Literature;Bioorg Med Chem;2013.0;CHEMBL3308469;;;;65
